WorldCup,RK,Team,PTS
1998,163,TahitiTAH,7.0
1998,164,Cape Verde IslandsCPV,7.0
1998,165,LiechtensteinLIE,7.0
1998,166,NepalNEP,7.0
1998,167,Cayman IslandsCAY,6.0
1998,168,Papua New GuineaPNG,6.0
1998,169,MadagascarMAD,6.0
1998,170,Korea DPRPRK,5.0
1998,171,Puerto RicoPUR,5.0
1998,172,RwandaRWA,5.0
1998,173,ArubaARU,5.0
1998,174,PhilippinesPHI,4.0
1998,175,TongaTGA,4.0
1998,176,San MarinoSMR,4.0
1998,177,Brunei DarussalamBRU,3.0
1998,178,BelizeBLZ,3.0
1998,179,British Virgin IslandsVGB,2.0
1998,180,SeychellesSEY,2.0
1998,181,SamoaSAM,2.0
1998,182,ChadCHA,2.0
1998,183,BermudaBER,2.0
1998,184,NicaraguaNCA,2.0
1998,185,AndorraAND,2.0
1998,186,VanuatuVAN,1.0
1998,187,SomaliaSOM,1.0
1998,188,Central African RepublicCTA,1.0
2002,1,FranceFRA,802.0
2002,2,BrazilBRA,784.0
2002,3,ArgentinaARG,784.0
2002,4,ColombiaCOL,728.0
2002,5,PortugalPOR,726.0
2002,6,ItalyITA,717.0
2002,7,MexicoMEX,716.0
2002,8,SpainESP,713.0
2002,9,NetherlandsNED,703.0
2002,10,YugoslaviaYUG,702.0
2002,11,GermanyGER,695.0
2002,12,EnglandENG,694.0
2002,13,USAUSA,690.0
2002,14,RomaniaROU,675.0
2002,15,Republic of IrelandIRL,674.0
2002,16,Czech RepublicCZE,674.0
2002,17,CameroonCMR,672.0
2002,18,ParaguayPAR,671.0
2002,19,SwedenSWE,665.0
2002,20,DenmarkDEN,657.0
2002,21,CroatiaCRO,655.0
2002,22,TurkeyTUR,654.0
2002,23,BelgiumBEL,653.0
2002,24,UruguayURU,652.0
2002,25,SloveniaSVN,649.0
2002,26,HondurasHON,647.0
2002,27,NigeriaNGA,644.0
2002,28,RussiaRUS,644.0
2002,29,Costa RicaCRC,643.0
2002,30,IR IranIRN,635.0
2002,31,TunisiaTUN,635.0
2002,32,JapanJPN,634.0
2002,33,NorwayNOR,631.0
2002,34,Saudi ArabiaKSA,627.0
2002,35,Trinidad and TobagoTRI,624.0
2002,36,EcuadorECU,624.0
2002,37,South AfricaRSA,623.0
2002,38,PolandPOL,615.0
2002,39,MoroccoMAR,612.0
2002,40,Korea RepublicKOR,603.0
2002,41,FinlandFIN,600.0
2002,42,SenegalSEN,599.0
2002,43,EgyptEGY,598.0
2002,44,UkraineUKR,593.0
2002,45,ChileCHI,590.0
2002,46,Côte d'IvoireCIV,580.0
2002,47,PeruPER,578.0
2002,48,AustraliaAUS,575.0
2002,49,SlovakiaSVK,574.0
2002,50,China PRCHN,566.0
2002,51,IsraelISR,563.0
2002,52,GhanaGHA,558.0
2002,53,GreeceGRE,558.0
2002,54,BulgariaBUL,557.0
2002,55,ScotlandSCO,557.0
2002,56,IcelandISL,553.0
2002,57,JamaicaJAM,549.0
2002,58,AngolaANG,545.0
2002,59,GeorgiaGEO,545.0
2002,60,ThailandTHA,544.0
2002,61,AustriaAUT,543.0
2002,62,GuatemalaGUA,538.0
2002,63,United Arab EmiratesUAE,536.0
2002,64,SwitzerlandSUI,531.0
2002,65,ZambiaZAM,530.0
2002,66,ZimbabweZIM,527.0
2002,67,UzbekistanUZB,523.0
2002,68,HungaryHUN,523.0
2002,69,TogoTOG,518.0
2002,70,BoliviaBOL,512.0
2002,71,IraqIRQ,509.0
2002,72,Bosnia and HerzegovinaBIH,508.0
2002,73,QatarQAT,507.0
2002,74,Congo DRCOD,505.0
2002,75,CanadaCAN,504.0
2002,76,LiberiaLBR,500.0
2002,77,KuwaitKUW,500.0
2002,78,CubaCUB,498.0
2002,79,AlgeriaALG,497.0
2002,80,Burkina FasoBFA,497.0
2002,81,HaitiHAI,496.0
2002,82,CyprusCYP,492.0
2002,83,VenezuelaVEN,488.0
2002,84,El SalvadorSLV,480.0
2002,85,MaliMLI,471.0
2002,86,EstoniaEST,471.0
2002,87,New ZealandNZL,471.0
2002,88,BelarusBLR,463.0
2002,89,FYR MacedoniaMKD,462.0
2002,90,Northern IrelandNIR,455.0
2002,91,OmanOMA,454.0
2002,92,IndonesiaIDN,453.0
2002,93,SyriaSYR,449.0
2002,94,LebanonLBN,445.0
2002,95,AlbaniaALB,442.0
2002,96,WalesWAL,440.0
2002,97,CongoCGO,439.0
2002,98,LithuaniaLTU,436.0
2002,99,LatviaLVA,435.0
2002,100,JordanJOR,434.0
2002,101,ArmeniaARM,433.0
2002,102,KazakhstanKAZ,429.0
2002,103,MoldovaMDA,425.0
2002,104,GabonGAB,422.0
2002,105,NamibiaNAM,422.0
2002,106,KenyaKEN,418.0
2002,107,VietnamVIE,417.0
2002,108,BahrainBHR,409.0
2002,109,BarbadosBRB,407.0
2002,110,GuineaGUI,399.0
2002,111,PanamaPAN,388.0
2002,112,MalaysiaMAS,384.0
2002,113,SingaporeSGP,381.0
2002,114,TurkmenistanTKM,377.0
2002,115,AzerbaijanAZE,377.0
2002,116,LibyaLBY,374.0
2002,117,MadagascarMAD,366.0
2002,118,MaltaMLT,366.0
2002,119,Faroe IslandsFRO,365.0
2002,120,UgandaUGA,364.0
2002,121,SudanSDN,360.0
2002,122,MalawiMWI,353.0
2002,123,IndiaIND,350.0
2002,124,EswatiniSWZ,349.0
2002,125,FijiFIJ,340.0
2002,126,Korea DPRPRK,339.0
2002,127,MauritiusMRI,335.0
2002,128,TahitiTAH,332.0
2002,129,MozambiqueMOZ,330.0
2002,130,BurundiBDI,328.0
2002,131,St. Vincent and the GrenadinesVIN,327.0
2002,132,St. Kitts and NevisSKN,320.0
2002,133,RwandaRWA,319.0
2002,134,EthiopiaETH,318.0
2002,135,St. LuciaLCA,318.0
2002,136,LesothoLES,313.0
2002,137,Solomon IslandsSOL,305.0
2002,138,GrenadaGRN,305.0
2002,139,BotswanaBOT,303.0
2002,140,YemenYEM,297.0
2002,141,AndorraAND,286.0
2002,142,Sri LankaSRI,281.0
2002,143,Hong KongHKG,280.0
2002,144,Sierra LeoneSLE,279.0
2002,145,LuxembourgLUX,266.0
2002,146,SurinameSUR,260.0
2002,147,PalestinePLE,247.0
2002,148,MaldivesMDV,245.0
2002,149,BangladeshBAN,241.0
2002,150,LiechtensteinLIE,241.0
2002,151,BeninBEN,239.0
2002,152,TanzaniaTAN,237.0
2002,153,MyanmarMYA,229.0
2002,154,GambiaGAM,227.0
2002,155,TajikistanTJK,221.0
2002,156,NepalNEP,214.0
2002,157,BelizeBLZ,211.0
2002,158,Antigua and BarbudaATG,211.0
2002,159,San MarinoSMR,204.0
2002,160,Cape Verde IslandsCPV,202.0
2002,161,Dominican RepublicDOM,198.0
2002,162,British Virgin IslandsVGB,197.0
2002,163,DominicaDMA,197.0
2002,164,LaosLAO,196.0
2002,165,SamoaSAM,195.0
2002,166,Kyrgyz RepublicKGZ,195.0
2002,167,Cayman IslandsCAY,188.0
2002,168,BermudaBER,187.0
2002,169,EritreaERI,182.0
2002,170,VanuatuVAN,180.0
2002,171,CambodiaCAM,175.0
2002,172,Chinese TaipeiTPE,170.0
2002,173,TongaTGA,157.0
2002,174,Guinea-BissauGNB,147.0
2002,175,PhilippinesPHI,145.0
2002,176,ChadCHA,144.0
2002,177,GuyanaGUY,143.0
2002,178,MauritaniaMTN,140.0
2002,179,Cook IslandsCOK,139.0
2002,180,Papua New GuineaPNG,130.0
2002,181,PakistanPAK,130.0
2002,182,MacauMAC,109.0
2002,183,Central African RepublicCTA,106.0
2002,184,BahamasBAH,103.0
2002,186,ArubaARU,99.0
2002,187,Sao Tome e PrincipeSTP,97.0
2002,188,MongoliaMNG,92.0
2002,189,NicaraguaNCA,88.0
2002,190,Brunei DarussalamBRU,83.0
2002,191,Equatorial GuineaEQG,76.0
2002,192,DjiboutiDJI,73.0
2002,193,NigerNIG,68.0
2002,194,SeychellesSEY,67.0
2002,195,SomaliaSOM,66.0
2002,196,AnguillaAIA,63.0
2002,197,Puerto RicoPUR,53.0
2002,198,US Virgin IslandsVIR,46.0
2002,199,GuamGUM,24.0
2002,200,Turks and Caicos IslandsTCA,19.0
2002,201,American SamoaASA,19.0
2002,202,BhutanBHU,13.0
2002,203,MontserratMSR,9.0
2006,1,BrazilBRA,827.0
2006,2,Czech RepublicCZE,772.0
2006,3,NetherlandsNED,768.0
2006,4,MexicoMEX,758.0
2006,5,USAUSA,756.0
2006,5,SpainESP,756.0
2006,7,PortugalPOR,750.0
2006,8,FranceFRA,749.0
2006,9,ArgentinaARG,746.0
2006,10,EnglandENG,741.0
2006,11,NigeriaNGA,736.0
2006,11,DenmarkDEN,736.0
2006,13,ItalyITA,728.0
2006,14,TurkeyTUR,726.0
2006,15,CameroonCMR,722.0
2006,16,SwedenSWE,709.0
2006,17,EgyptEGY,708.0
2006,18,JapanJPN,705.0
2006,19,GermanyGER,696.0
2006,20,GreeceGRE,694.0
